"filename", "language", "PHP", "Markdown", "JSON", "Shell Script", "PowerShell", "XML", "YAML", "CSS", "JavaScript", "HTML", "TypeScript", "SQL", "SCSS", "Ini", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Html2PdfTest.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 46
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Image\BackgroundErrorTest.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 43
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Image\BackgroundOkTest.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 36
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Image\SrcErrorTest.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 44
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Image\SrcOkTest.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 36
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\LocaleTest.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 8, 74
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Output\FileNameOkTest.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 9, 67
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Parsing\HtmlLexerTest.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 73
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Parsing\HtmlTest.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 13, 82
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Parsing\ParsingTest.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 9, 101
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Parsing\TagParserTest.php", "PHP", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 44, 224
"c:\xampp\htdocs\poncelet-sis\sistema\cotizador\vendor\spipu\html2pdf\src\Tests\Parsing\TextParserTest.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 9, 50
